brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date,city_state
33717.0,sold,170000.0,3.0,2.0,0.15,170072.0,Houston,Texas,77047.0,1595.0,2022-03-31,"Houston, TX"
53134.0,sold,205000.0,3.0,2.0,0.03,992314.0,Santa Maria,California,93455.0,1620.0,2021-12-07,"Santa Maria, CA"
53117.0,sold,1030000.0,4.0,4.0,0.34,1538943.0,Star,Idaho,83669.0,3056.0,2021-12-30,"Star, ID"
63199.0,sold,240000.0,4.0,2.0,4.27,1065062.0,Kempton,Illinois,60946.0,1693.0,2022-01-31,"Kempton, IL"
57794.0,sold,250000.0,3.0,2.0,6.0,1161062.0,Wallace,South Carolina,29512.0,1763.0,2021-12-03,"Wallace, SC"
30807.0,sold,329900.0,3.0,4.0,0.48,1297273.0,Gloucester City,New Jersey,8030.0,1348.0,2022-04-01,"Gloucester City, NJ"
,sold,1795000.0,3.0,3.0,0.05,520122.0,San Francisco,California,94110.0,1645.0,2021-11-23,"San Francisco, CA"
79221.0,sold,135000.0,3.0,1.0,0.16,,Tulsa,Oklahoma,74108.0,1144.0,2022-01-11,"Tulsa, OK"
81779.0,sold,135000.0,3.0,2.0,0.19,27226.0,Bloomington,Illinois,61701.0,2144.0,2021-11-05,"Bloomington, IL"
28847.0,sold,799602.0,3.0,2.0,0.13,1062034.0,Inglewood,California,90305.0,1589.0,2021-11-30,"Inglewood, CA"
22726.0,sold,1150000.0,3.0,4.0,,1662120.0,Irvine,California,92618.0,1749.0,2022-04-29,"Irvine, CA"
16709.0,sold,449000.0,4.0,2.0,0.2,1285112.0,Fords,New Jersey,8863.0,,2022-01-18,"Fords, NJ"
78967.0,sold,599950.0,3.0,3.0,0.18,1244540.0,Lovettsville,Virginia,20180.0,3097.0,2021-11-16,"Lovettsville, VA"
33417.0,sold,189500.0,2.0,2.0,,664201.0,Lutz,Florida,33558.0,1135.0,2021-12-21,"Lutz, FL"
71247.0,sold,275000.0,3.0,2.0,0.16,555136.0,Arlington,Texas,76013.0,1799.0,2021-12-22,"Arlington, TX"
108316.0,sold,1050000.0,3.0,2.0,0.09,492885.0,Seattle,Washington,98122.0,1820.0,2022-03-10,"Seattle, WA"
35751.0,sold,56000.0,2.0,1.0,0.22,804919.0,Palm Bay,Florida,32905.0,1192.0,2022-04-12,"Palm Bay, FL"
73378.0,sold,249000.0,3.0,2.0,16.02,103742.0,Checotah,Oklahoma,74426.0,1630.0,2022-02-18,"Checotah, OK"
48698.0,sold,222000.0,1.0,1.0,,1675055.0,Renton,Washington,98057.0,680.0,2022-01-20,"Renton, WA"
95280.0,sold,9500.0,,,0.17,874919.0,Punta Gorda,Florida,33955.0,,2022-04-08,"Punta Gorda, FL"
105337.0,sold,810000.0,4.0,2.0,0.16,1233472.0,Windsor,California,95492.0,2060.0,2022-03-03,"Windsor, CA"
82202.0,sold,380000.0,1.0,1.0,,690558.0,Miami,Florida,33131.0,811.0,2022-03-15,"Miami, FL"
58116.0,sold,182000.0,1.0,1.0,2.0,960000.0,Dallas,Texas,75219.0,672.0,2022-01-25,"Dallas, TX"
108370.0,sold,1249950.0,3.0,3.0,0.12,1123775.0,Seattle,Washington,98103.0,2500.0,2021-12-08,"Seattle, WA"
25878.0,sold,319060.0,5.0,4.0,0.17,1485117.0,Duncan,South Carolina,29334.0,,2021-10-29,"Duncan, SC"
74476.0,sold,175000.0,3.0,2.0,0.19,76875.0,Oakdale,Pennsylvania,15071.0,1080.0,2021-12-10,"Oakdale, PA"
52260.0,sold,1788000.0,3.0,2.0,0.32,108561.0,North Tustin,California,92705.0,2586.0,2022-03-15,"North Tustin, CA"
107828.0,sold,350000.0,3.0,3.0,0.79,456686.0,Charlotte,North Carolina,28216.0,1620.0,2021-10-29,"Charlotte, NC"
78751.0,sold,214900.0,3.0,2.0,5.51,1268245.0,Wedowee,Alabama,36278.0,1400.0,2021-12-13,"Wedowee, AL"
45940.0,sold,170000.0,2.0,2.0,0.18,1370836.0,Tonawanda,New York,14150.0,1078.0,2022-03-28,"Tonawanda, NY"
46287.0,sold,110000.0,1.0,1.0,2.84,678371.0,Brazoria,Texas,77422.0,900.0,2022-02-01,"Brazoria, TX"
106802.0,sold,7000.0,,,0.5,1465661.0,Winchester,Virginia,22602.0,,2022-04-07,"Winchester, VA"
84534.0,sold,362500.0,4.0,3.0,0.34,48873.0,Stockbridge,Georgia,30281.0,2364.0,2022-03-28,"Stockbridge, GA"
941.0,sold,310000.0,2.0,3.0,0.03,903599.0,Carol Stream,Illinois,60188.0,1805.0,2022-01-21,"Carol Stream, IL"
29054.0,sold,498000.0,3.0,4.0,0.04,835907.0,Annapolis,Maryland,21401.0,2020.0,2022-02-22,"Annapolis, MD"
54665.0,sold,539000.0,3.0,3.0,,1845850.0,Red Hook,New York,12571.0,2080.0,2022-02-24,"Red Hook, NY"
108707.0,sold,7500.0,1.0,1.0,0.17,857712.0,Parsons,Kansas,67357.0,820.0,2022-01-03,"Parsons, KS"
26223.0,sold,378400.0,5.0,4.0,,723924.0,McCalla,Alabama,35111.0,3521.0,2021-11-19,"McCalla, AL"
53309.0,sold,820000.0,5.0,4.0,0.92,907402.0,Roswell,Georgia,30076.0,3808.0,2022-02-18,"Roswell, GA"
62936.0,sold,590000.0,4.0,3.0,2.56,347031.0,El Paso,Texas,79938.0,4898.0,2022-01-02,"El Paso, TX"
84513.0,sold,599900.0,5.0,2.0,0.19,1525001.0,Tempe,Arizona,85283.0,2283.0,2022-03-28,"Tempe, AZ"
5660.0,sold,395000.0,5.0,3.0,,766218.0,Braselton,Georgia,30517.0,2338.0,2022-01-18,"Braselton, GA"
23615.0,sold,425000.0,2.0,1.0,0.14,789032.0,Dunedin,Florida,34698.0,1203.0,2022-02-17,"Dunedin, FL"
108220.0,sold,530500.0,2.0,2.0,0.09,998663.0,Wilsonville,Oregon,97070.0,1718.0,2022-02-11,"Wilsonville, OR"
65938.0,sold,1188000.0,2.0,3.0,0.03,1154035.0,San Jose,California,95134.0,1561.0,2022-03-11,"San Jose, CA"
74908.0,sold,849900.0,3.0,4.0,0.22,1783140.0,Crystal River,Florida,34429.0,2196.0,2022-04-14,"Crystal River, FL"
22611.0,sold,314900.0,3.0,2.0,,1158974.0,East Brunswick,New Jersey,8816.0,1443.0,2021-10-22,"East Brunswick, NJ"
10479.0,sold,315000.0,5.0,4.0,0.3,86854.0,Auburn,Pennsylvania,17922.0,3526.0,2021-11-05,"Auburn, PA"
72087.0,sold,164900.0,2.0,1.0,,1073436.0,Glen Ellyn,Illinois,60137.0,,2022-02-08,"Glen Ellyn, IL"
6907.0,sold,275000.0,4.0,2.0,1.65,374784.0,Villa Rica,Georgia,30180.0,1900.0,2022-04-04,"Villa Rica, GA"
109755.0,sold,215900.0,3.0,2.0,0.57,520918.0,Bellefontaine,Ohio,43311.0,1336.0,2021-10-29,"Bellefontaine, OH"
12136.0,sold,239900.0,2.0,2.0,0.47,1581557.0,Bloomington,Illinois,61704.0,2797.0,2022-04-06,"Bloomington, IL"
45724.0,sold,77000.0,6.0,2.0,0.1,789699.0,Cleveland,Ohio,44104.0,1804.0,2022-04-25,"Cleveland, OH"
61945.0,sold,337000.0,3.0,2.0,0.53,142751.0,Kings Mountain,North Carolina,28086.0,2139.0,2022-03-25,"Kings Mountain, NC"
56350.0,sold,239999.0,1.0,1.0,0.49,254108.0,Minneapolis,Minnesota,55413.0,781.0,2022-03-04,"Minneapolis, MN"
15941.0,sold,79900.0,2.0,2.0,0.2,691916.0,Prescott,Michigan,48756.0,850.0,2022-02-01,"Prescott, MI"
13257.0,sold,215000.0,4.0,3.0,2.0,810576.0,Coward,South Carolina,29530.0,1703.0,2021-12-10,"Coward, SC"
31558.0,sold,158000.0,4.0,2.0,0.14,42115.0,El Paso,Texas,79925.0,1386.0,2022-01-24,"El Paso, TX"
33718.0,sold,664950.0,5.0,4.0,0.29,365058.0,El Paso,Texas,79912.0,4164.0,2022-02-14,"El Paso, TX"
15751.0,sold,298900.0,3.0,3.0,0.53,1621089.0,Mentor,Ohio,44060.0,2032.0,2021-12-29,"Mentor, OH"
22188.0,sold,785000.0,3.0,2.0,0.34,419265.0,Northampton,Massachusetts,1062.0,2101.0,2022-03-25,"Northampton, MA"
66383.0,sold,199900.0,3.0,,,61478.0,West Allis,Wisconsin,53227.0,,2021-12-16,"West Allis, WI"
52841.0,sold,5000.0,,,0.33,1910297.0,Bella Vista,Arkansas,72714.0,,2022-03-18,"Bella Vista, AR"
65860.0,sold,105900.0,3.0,2.0,0.26,643422.0,Battleboro,North Carolina,27809.0,1100.0,2021-12-21,"Battleboro, NC"
22023.0,sold,109900.0,3.0,2.0,0.19,1163410.0,Hutchinson,Kansas,67501.0,1623.0,2022-02-18,"Hutchinson, KS"
9466.0,sold,195000.0,2.0,2.0,3.09,1646461.0,Seminole,Florida,33777.0,1060.0,2022-03-01,"Seminole, FL"
22926.0,sold,70000.0,3.0,2.0,10.0,421333.0,Kellyville,Oklahoma,74039.0,1850.0,2022-02-01,"Kellyville, OK"
22621.0,sold,2195000.0,2.0,2.0,0.04,1328454.0,Boston,Massachusetts,2116.0,1561.0,2021-11-01,"Boston, MA"
83498.0,sold,999900.0,3.0,3.0,0.08,483385.0,Irvine,California,92620.0,1424.0,2022-02-01,"Irvine, CA"
45806.0,sold,179900.0,3.0,2.0,0.26,1406879.0,Rochester,New York,14606.0,1188.0,2022-04-08,"Rochester, NY"
53544.0,sold,245000.0,2.0,2.0,,1062004.0,Laurel,Maryland,20724.0,1039.0,2022-01-07,"Laurel, MD"
10950.0,sold,520000.0,4.0,3.0,0.1,1558456.0,Fife,Washington,98424.0,1650.0,2022-04-14,"Fife, WA"
81233.0,sold,13500.0,,,0.23,133153.0,Lehigh Acres,Florida,33974.0,,2022-02-14,"Lehigh Acres, FL"
106715.0,sold,550000.0,4.0,3.0,0.14,165289.0,Gilbert,Arizona,85234.0,2336.0,2022-03-16,"Gilbert, AZ"
51878.0,sold,149900.0,3.0,2.0,0.22,1592994.0,Sebring,Florida,33870.0,1074.0,2021-12-14,"Sebring, FL"
100143.0,sold,629900.0,3.0,2.0,0.21,554125.0,Turlock,California,95382.0,1961.0,2022-03-29,"Turlock, CA"
71516.0,sold,162000.0,2.0,2.0,0.02,1255666.0,Yorkville,Illinois,60560.0,1170.0,2022-03-31,"Yorkville, IL"
51869.0,sold,289000.0,3.0,2.0,0.68,616880.0,Clarkston,Washington,99403.0,2625.0,2022-04-22,"Clarkston, WA"
79021.0,sold,335000.0,4.0,3.0,0.23,1141075.0,Rochester,New York,14625.0,2033.0,2022-03-15,"Rochester, NY"
79336.0,sold,425000.0,4.0,3.0,0.7,277458.0,Sleepy Hollow,Illinois,60118.0,2546.0,2022-01-18,"Sleepy Hollow, IL"
52775.0,sold,220000.0,3.0,1.0,0.16,1627022.0,Saint Paul,Minnesota,55106.0,975.0,2022-01-13,"Saint Paul, MN"
86425.0,sold,224900.0,3.0,2.0,0.2,1386556.0,Albuquerque,New Mexico,87110.0,1467.0,2021-11-16,"Albuquerque, NM"
25783.0,sold,300990.0,4.0,2.0,,717427.0,Green Cove Springs,Florida,32043.0,1862.0,2022-01-28,"Green Cove Springs, FL"
237.0,sold,187500.0,1.0,2.0,,21290.0,Daytona Beach,Florida,32118.0,1050.0,2021-11-23,"Daytona Beach, FL"
31357.0,sold,569000.0,4.0,3.0,0.3,1513326.0,Edina,Minnesota,55439.0,2790.0,2021-11-19,"Edina, MN"
13676.0,sold,5750000.0,3.0,6.0,0.89,1276592.0,Dallas,Texas,75209.0,5130.0,2022-01-14,"Dallas, TX"
23257.0,sold,179000.0,3.0,2.0,0.07,1052265.0,Sewell,New Jersey,8080.0,1508.0,2021-12-22,"Sewell, NJ"
15931.0,sold,199900.0,3.0,2.0,,1335890.0,Waldorf,Maryland,20602.0,1368.0,2022-01-05,"Waldorf, MD"
22611.0,sold,350000.0,6.0,2.0,0.13,1548764.0,Clifton,New Jersey,7013.0,,2021-12-29,"Clifton, NJ"
22611.0,sold,299999.0,3.0,2.0,0.14,448241.0,Mansfield,Texas,76063.0,1579.0,2021-11-18,"Mansfield, TX"
98034.0,sold,1075000.0,3.0,3.0,0.5,408466.0,Los Angeles,California,90046.0,2140.0,2022-02-17,"Los Angeles, CA"
22914.0,sold,297000.0,3.0,2.0,0.23,1241089.0,Wilmington,North Carolina,28405.0,1314.0,2022-04-19,"Wilmington, NC"
22342.0,sold,289900.0,3.0,3.0,,1059754.0,Okemos,Michigan,48864.0,2522.0,2021-12-01,"Okemos, MI"
33717.0,sold,368000.0,4.0,3.0,0.3,905364.0,Ruther Glen,Virginia,22546.0,1944.0,2022-03-02,"Ruther Glen, VA"
16829.0,sold,499000.0,3.0,4.0,0.04,1603231.0,Hanover,Maryland,21076.0,2579.0,2022-04-20,"Hanover, MD"
30773.0,sold,37000.0,,,13.98,1960414.0,Bennettsville,South Carolina,29512.0,,2022-02-04,"Bennettsville, SC"
96397.0,sold,309000.0,3.0,2.0,0.18,611650.0,Corinth,Texas,76210.0,1554.0,2022-04-14,"Corinth, TX"
108900.0,sold,309900.0,3.0,3.0,0.15,739651.0,Ballwin,Missouri,63021.0,1240.0,2021-11-15,"Ballwin, MO"
10768.0,sold,639000.0,4.0,2.0,2.34,1016347.0,Bernards Twp,New Jersey,7920.0,,2021-11-18,"Bernards Twp, NJ"
108283.0,sold,424900.0,3.0,3.0,0.2,533372.0,Yelm,Washington,98597.0,1608.0,2021-11-30,"Yelm, WA"
7706.0,sold,169000.0,2.0,2.0,0.25,1722158.0,Birmingham,Alabama,35206.0,1120.0,2022-04-21,"Birmingham, AL"
81053.0,sold,695000.0,4.0,3.0,0.1,1798853.0,Azusa,California,91702.0,1780.0,2021-11-30,"Azusa, CA"
79202.0,sold,29900.0,,,0.08,955763.0,Rochester,New York,14611.0,1604.0,2022-02-23,"Rochester, NY"
79095.0,sold,165000.0,2.0,2.0,4.86,1517747.0,Penrose,Colorado,81240.0,1484.0,2022-02-28,"Penrose, CO"
15292.0,sold,189900.0,2.0,3.0,,83143.0,Elgin,Illinois,60120.0,1320.0,2021-11-30,"Elgin, IL"
7912.0,sold,140000.0,3.0,2.0,0.2,500158.0,North Apollo,Pennsylvania,15673.0,1456.0,2022-04-08,"North Apollo, PA"
10387.0,sold,380000.0,2.0,2.0,,1472694.0,Chicago,Illinois,60660.0,1800.0,2022-03-28,"Chicago, IL"
33566.0,sold,289900.0,3.0,3.0,0.27,1675342.0,Beaver Dam,Wisconsin,53916.0,2582.0,2022-02-28,"Beaver Dam, WI"
53771.0,sold,495000.0,5.0,2.0,0.21,615229.0,Olympia,Washington,98501.0,2700.0,2021-11-12,"Olympia, WA"
23066.0,sold,595000.0,2.0,2.0,0.66,563454.0,New York City,New York,10021.0,,2021-12-14,"New York City, NY"
78810.0,sold,1799900.0,6.0,9.0,7.1,277920.0,West Chester,Pennsylvania,19382.0,8348.0,2021-12-20,"West Chester, PA"
53543.0,sold,300000.0,3.0,3.0,0.05,661170.0,Indian Trail,North Carolina,28079.0,1849.0,2021-12-21,"Indian Trail, NC"
