brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date,city_state,county_name,crime_rate_per_100000,index,EDITION,PART,IDNO,CPOPARST,CPOPCRIM,AG_ARRST,AG_OFF,COVIND,INDEX,MODINDX,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population,FIPS_ST,FIPS_CTY
15895.0,for_sale,1679000.0,,,,1804906.0,Westchester County,New York,10803.0,,2018-11-28,"Westchester County, NY","Westchester County, NY",251.8574487,1133,1,4,1908,961058,958799,52,42,98.4882,2440,12557,20,73,915,1432,1903,10020,634,44,968802,36,119
52993.0,for_sale,329000.0,6.0,5.0,0.32,42550.0,Pike County,Pennsylvania,18324.0,4732.0,,"Pike County, PA","Pike County, PA",123.6945804,2097,1,4,2321,56944,56944,9,9,100.0,70,1075,0,17,17,36,429,616,30,8,56591,42,103
11474.0,for_sale,224900.0,3.0,2.0,0.28,67718.0,Pike County,Pennsylvania,18324.0,1056.0,,"Pike County, PA","Pike County, PA",123.6945804,2097,1,4,2321,56944,56944,9,9,100.0,70,1075,0,17,17,36,429,616,30,8,56591,42,103
52993.0,for_sale,499000.0,3.0,2.0,0.44,512282.0,Pike County,Pennsylvania,18324.0,1470.0,2017-12-15,"Pike County, PA","Pike County, PA",123.6945804,2097,1,4,2321,56944,56944,9,9,100.0,70,1075,0,17,17,36,429,616,30,8,56591,42,103
83859.0,for_sale,439000.0,4.0,5.0,0.51,447699.0,Pike County,Pennsylvania,18337.0,3480.0,2006-09-15,"Pike County, PA","Pike County, PA",123.6945804,2097,1,4,2321,56944,56944,9,9,100.0,70,1075,0,17,17,36,429,616,30,8,56591,42,103
81557.0,for_sale,160000.0,3.0,,0.07,1184521.0,Pike County,Pennsylvania,18324.0,960.0,2002-06-21,"Pike County, PA","Pike County, PA",123.6945804,2097,1,4,2321,56944,56944,9,9,100.0,70,1075,0,17,17,36,429,616,30,8,56591,42,103
11113.0,for_sale,299999.0,3.0,2.0,0.43,430134.0,Pike County,Pennsylvania,18324.0,1388.0,2021-07-06,"Pike County, PA","Pike County, PA",123.6945804,2097,1,4,2321,56944,56944,9,9,100.0,70,1075,0,17,17,36,429,616,30,8,56591,42,103
15815.0,for_sale,585000.0,3.0,3.0,1.39,222296.0,Pike County,Pennsylvania,18425.0,3888.0,2002-09-11,"Pike County, PA","Pike County, PA",123.6945804,2097,1,4,2321,56944,56944,9,9,100.0,70,1075,0,17,17,36,429,616,30,8,56591,42,103
52993.0,for_sale,5000.0,,,0.51,1945257.0,Pike County,Pennsylvania,18324.0,,,"Pike County, PA","Pike County, PA",123.6945804,2097,1,4,2321,56944,56944,9,9,100.0,70,1075,0,17,17,36,429,616,30,8,56591,42,103
106721.0,for_sale,27000.0,,,0.75,1923234.0,Pike County,Pennsylvania,18328.0,,,"Pike County, PA","Pike County, PA",123.6945804,2097,1,4,2321,56944,56944,9,9,100.0,70,1075,0,17,17,36,429,616,30,8,56591,42,103
